dataset,run_id,technique,reviewers,run_path,usage_file,usable_for_cost_analysis
costed_split_soft_n10,costed_ubr_split_soft_n10_001,UBR,10,runs/costed_ubr_split_soft_n10_001,runs/costed_ubr_split_soft_n10_001/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_002,UBR,10,runs/costed_ubr_split_soft_n10_002,runs/costed_ubr_split_soft_n10_002/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_003,UBR,10,runs/costed_ubr_split_soft_n10_003,runs/costed_ubr_split_soft_n10_003/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_004,UBR,10,runs/costed_ubr_split_soft_n10_004,runs/costed_ubr_split_soft_n10_004/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_005,UBR,10,runs/costed_ubr_split_soft_n10_005,runs/costed_ubr_split_soft_n10_005/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_006,UBR,10,runs/costed_ubr_split_soft_n10_006,runs/costed_ubr_split_soft_n10_006/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_007,UBR,10,runs/costed_ubr_split_soft_n10_007,runs/costed_ubr_split_soft_n10_007/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_008,UBR,10,runs/costed_ubr_split_soft_n10_008,runs/costed_ubr_split_soft_n10_008/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_009,UBR,10,runs/costed_ubr_split_soft_n10_009,runs/costed_ubr_split_soft_n10_009/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_010,UBR,10,runs/costed_ubr_split_soft_n10_010,runs/costed_ubr_split_soft_n10_010/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_011,UBR,10,runs/costed_ubr_split_soft_n10_011,runs/costed_ubr_split_soft_n10_011/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_012,UBR,10,runs/costed_ubr_split_soft_n10_012,runs/costed_ubr_split_soft_n10_012/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_013,UBR,10,runs/costed_ubr_split_soft_n10_013,runs/costed_ubr_split_soft_n10_013/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_014,UBR,10,runs/costed_ubr_split_soft_n10_014,runs/costed_ubr_split_soft_n10_014/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_015,UBR,10,runs/costed_ubr_split_soft_n10_015,runs/costed_ubr_split_soft_n10_015/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_016,UBR,10,runs/costed_ubr_split_soft_n10_016,runs/costed_ubr_split_soft_n10_016/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_017,UBR,10,runs/costed_ubr_split_soft_n10_017,runs/costed_ubr_split_soft_n10_017/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_018,UBR,10,runs/costed_ubr_split_soft_n10_018,runs/costed_ubr_split_soft_n10_018/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_019,UBR,10,runs/costed_ubr_split_soft_n10_019,runs/costed_ubr_split_soft_n10_019/llm_usage.csv,true
costed_split_soft_n10,costed_ubr_split_soft_n10_020,UBR,10,runs/costed_ubr_split_soft_n10_020,runs/costed_ubr_split_soft_n10_020/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_001,CBR,10,runs/costed_cbr_split_soft_n10_001,runs/costed_cbr_split_soft_n10_001/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_002,CBR,10,runs/costed_cbr_split_soft_n10_002,runs/costed_cbr_split_soft_n10_002/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_003,CBR,10,runs/costed_cbr_split_soft_n10_003,runs/costed_cbr_split_soft_n10_003/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_004,CBR,10,runs/costed_cbr_split_soft_n10_004,runs/costed_cbr_split_soft_n10_004/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_005,CBR,10,runs/costed_cbr_split_soft_n10_005,runs/costed_cbr_split_soft_n10_005/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_006,CBR,10,runs/costed_cbr_split_soft_n10_006,runs/costed_cbr_split_soft_n10_006/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_007,CBR,10,runs/costed_cbr_split_soft_n10_007,runs/costed_cbr_split_soft_n10_007/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_008,CBR,10,runs/costed_cbr_split_soft_n10_008,runs/costed_cbr_split_soft_n10_008/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_009,CBR,10,runs/costed_cbr_split_soft_n10_009,runs/costed_cbr_split_soft_n10_009/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_010,CBR,10,runs/costed_cbr_split_soft_n10_010,runs/costed_cbr_split_soft_n10_010/llm_usage.csv,true
costed_split_soft_n10,costed_cbr_split_soft_n10_011,CBR,10,runs/costed_cbr_split_soft_n10_011,runs/costed_cbr_split_soft_n10_011/llm_usage.csv,true
