run_id,technique,n_reviewers,reviewer_id,defect_id,fault_type,position,page_hint,description_raw,description_norm,source,timestamp
costed_pbr_split_soft_n10_007,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_1_pbr_tester,h:7a59bdda132993de,M,3.2.1,p. 4,'Order': The requirements do not clarify order submission behavior when offline (p. 4).,order the requirements do not clarify order submission behavior when offline p 4,reviewer,2026-06-14T19:25:05.247374
costed_pbr_split_soft_n10_007,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_1_pbr_tester,h:b88e97092a852e85,M,3.1.23,p. 7,'Order': The requirements do not specify how rejected orders are processed (p. 7).,order the requirements do not specify how rejected orders are processed p 7,reviewer,2026-06-14T19:25:05.247374
costed_pbr_split_soft_n10_007,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_1_pbr_tester,h:d76c5797954e3aba,M,3.1.28,p. 7,'Order': The timeout for unaccepted orders is mentioned but is missing detailed handling (p. 7).,order the timeout for unaccepted orders is mentioned but is missing detailed handling p 7,reviewer,2026-06-14T19:25:05.247374
costed_pbr_split_soft_n10_007,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_1_pbr_tester,h:fe63f8740b444859,M,3.2.23,p. 10,'Voice Communication': The requirements do not clarify voice communication initiation during system failure (p. 10).,voice communication the requirements do not clarify voice communication initiation during system failure p 10,reviewer,2026-06-14T19:25:05.247374
costed_pbr_split_soft_n10_007,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_1_pbr_tester,h:c04ce7b7ff00fbb7,M,3.1.12,p. 6,'State Change': The requirements mention notifying the central but lack specifics on the notification process (p. 6).,state change the requirements mention notifying the central but lack specifics on the notification process p 6,reviewer,2026-06-14T19:25:05.247374
costed_pbr_split_soft_n10_007,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_2_pbr_tester,h:3789f5abec594ade,M,3.2.1,p. 3,"'Order': The order can be submitted in all states, except in 'Offline' (p. 3).",order the order can be submitted in all states except in offline p 3,reviewer,2026-06-14T19:25:21.006048
costed_pbr_split_soft_n10_007,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_2_pbr_tester,h:38c2556af470c7ba,M,3.2.1,p. 3,'Reject_Order': The system is missing how rejected orders are handled (p. 3).,reject order the system is missing how rejected orders are handled p 3,reviewer,2026-06-14T19:25:21.006048
costed_pbr_split_soft_n10_007,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_2_pbr_tester,h:8f4cdf1872ba4c73,M,3.4.1,p. 5,'Order': The order signal is missing limits for parameters (p. 5).,order the order signal is missing limits for parameters p 5,reviewer,2026-06-14T19:25:21.006048
costed_pbr_split_soft_n10_007,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_2_pbr_tester,h:ad6cd916c611a4f5,M,3.4.2,p. 5,'Order_Reject': The acknowledgment for rejected orders is missing (p. 5).,order reject the acknowledgment for rejected orders is missing p 5,reviewer,2026-06-14T19:25:21.006048
costed_pbr_split_soft_n10_007,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_2_pbr_tester,h:c7f37d143c1cad83,M,Table 1,p. 6,'Order': Table 1 does not fully describe the parameters for the order signal (p. 6).,order table 1 does not fully describe the parameters for the order signal p 6,reviewer,2026-06-14T19:25:21.006048
