threshold,gold_id,gold_risk,gold_description,gold_location,auto_decision_best,candidate_count,techniques,best_similarity_score,example_run_id,example_reviewer_id,example_llm_defect_id,example_llm_description,example_llm_position,example_llm_page_hint,example_llm_entity,auto_location_check,auto_signal_entity_check,auto_description_check,auto_validation_reason,human_decision,human_reason
0.60,6,A,"Estimated time. The information about ""Estimated time"" to be available  in the signal ""confirm"". The operator shoudl be able to estimate the time when a taxi will arrive to a customer. Requirement 3.2.3. ","3.3.1, 3.3.2",confirmed,1,UBR,0.6181,costed_ubr_split_soft_n10_014,reviewer_5_ubr,h:08bf5ca88c72c87e,'Confirm': The confirmation signal for order submission is not defined in the operator's API.,3.3.2,p. 5,confirm,yes,yes,partial,"exaktes Signal geteilt, Location spezifisch passend, Beschreibung stützt",rejected,"Gleicher Signalname, aber anderer Defekt: Im Goldstandard fehlt die Information Estimated time im Signal confirm; die LLM-Meldung beschreibt dagegen ein nicht definiertes Confirm-Signal für die Auftragsübermittlung."
0.60,7,B,Allocate car. Requirement 3.2.4 and the design of allocate_car (3.3.1 i STLDD) do not correspind.,"3.3.1, 3.3.2",confirmed,6,"CBR, UBR",0.6209,costed_ubr_split_soft_n10_012,reviewer_4_ubr,h:72d83af2b805af34,'Allocate_car': A signal is missing for confirming the allocation of a car.,3.3.1,p. 4,allocate_car,yes,yes,partial,"exaktes Signal geteilt, Location spezifisch passend, Beschreibung stützt",doubtful,"Gleiche Entität und kompatible Location, aber nicht eindeutig derselbe Defekt: Im Goldstandard stimmen Requirement 3.2.4 und das Design von allocate_car nicht überein; die LLM-Meldung beschreibt ein fehlendes Signal zur Bestätigung der Fahrzeugzuweisung."
0.60,8,A,"Cancel order. The signal ""Cancel_Order"" is missing. Requirement 3.2.4 is not fullfilled. No message to the operator. (4.1  in  STLDD). Manuel dispatch and cancel order. ","3.2.1, 3.4.2, Table 1",confirmed,53,"CBR, UBR",0.6681,costed_cbr_split_soft_n10_019,reviewer_2_cbr,h:6be7b062d00b60c2,'Cancel_Order': A signal is missing for cancelling accepted orders.,3.2.1,p. 2,cancel_order,yes,yes,partial,"exaktes Signal geteilt, Location spezifisch passend, Beschreibung stützt",confirmed,Gleiches Signal und kompatible Location; die LLM-Meldung beschreibt ausdrücklich das fehlende Cancel_Order-Signal zum Stornieren akzeptierter Aufträge.
0.60,25,C,Taxi number. The taxi number is missing in order_struct. (Kraven saknar order number),"3.1, 3.3.2",doubtful,2,UBR,0.6072,costed_ubr_split_soft_n10_018,reviewer_1_ubr,h:dd1f3f922f2703ea,'Order_struct': Missing definition for 'Order_number' in the context of order handling.,3.1,p. 3,"order_number, order_struct",partial,yes,partial,Location nur teilweise/unspezifisch kompatibel,confirmed,Gleiche Struktur und sehr naher fehlender Parameter: Im Goldstandard fehlt die Taxi-Nummer beziehungsweise laut Zusatz die Order-Nummer in order_struct; die LLM-Meldung beschreibt eine fehlende Definition von Order_number im Kontext von order_struct.
0.60,27,B,"Logged in parameters. The signal ""Logged In"" misses parameters.","Table 1, 3.4.2",confirmed,1,UBR,0.6226,costed_ubr_split_soft_n10_004,reviewer_5_ubr,h:c25812dae645c5ff,'LoggedIn': The signal for logging in does not include the driver number.,3.4.2,p. 6,"logged_in, loggedin",yes,yes,partial,"exaktes Signal geteilt, Location spezifisch passend, Beschreibung stützt",confirmed,"Gleiches Signal und kompatible Location; im Goldstandard fehlen Parameter beim Signal Logged In, und die LLM-Meldung beschreibt konkret, dass beim Login-Signal die Driver Number fehlt."
0.60,28,C,"Voice message parameters. The signal ""Voice_Msg"" is inconsistent according to the parameters . Sometimes 2 is used and sometimes 3 is used. ","3.4.2, 4.2",doubtful,9,"CBR, UBR",0.8174,costed_ubr_split_soft_n10_010,reviewer_9_ubr,h:395ae46986a964c2,'Voice_Msg': The parameters for the voice message signal are inconsistent with the expected parameters in Table 1.,4.2,p. 10,voice_msg,partial,yes,yes,Location nur teilweise/unspezifisch kompatibel,confirmed,Gleiches Signal und kompatible Location; die LLM-Meldung beschreibt inkonsistente Voice_Msg-Parameter gegenüber den erwarteten Parametern in Table 1 und trifft damit den Kern des Goldstandard-Defekts.
0.60,31,B,"Confirm Voice. The signal ""Confirm_Voice"" is missing. ","3.2.1, Table 1",confirmed,16,"CBR, UBR",0.8700,costed_ubr_split_soft_n10_008,reviewer_2_ubr,h:8f00b491f09d9f6c,'Confirm_Voice': The signal is missing from the MSC.,3.2.1,p. 3,confirm_voice,yes,yes,yes,"exaktes Signal geteilt, Location spezifisch passend, Beschreibung stützt",confirmed,Gleiches Signal und kompatible Location; die LLM-Meldung beschreibt ausdrücklich das fehlende Confirm_Voice-Signal.
0.60,32,C,"Start Voice. The signal ""Start_voice"" from driver should be ""send_voice""",4.2,confirmed,14,"CBR, UBR",0.6722,costed_cbr_split_soft_n10_003,reviewer_8_cbr,h:0cdf27dec153d7f4,'Start_Voice': The signal is repeated unnecessarily in the MSC.,4.2,p. 10,start_voice,yes,yes,partial,"exaktes Signal geteilt, Location spezifisch passend, Beschreibung stützt",rejected,"Gleicher Signalname und gleiche Location, aber anderer Defekt: Im Goldstandard sollte Start_voice zu send_voice geändert werden; die LLM-Meldung beschreibt dagegen eine unnötige Wiederholung des Signals."
0.60,38,C,"Order. The first signal ""Order"" should be OrderOper. Further, one parameter is missing.",4.1,confirmed,47,"CBR, UBR",0.7613,costed_ubr_split_soft_n10_006,reviewer_8_ubr,h:c729826debaa5192,'Order': A signal is missing for the rejection of an order.,4.1,p. 9,order,yes,yes,yes,"exaktes Signal geteilt, Location spezifisch passend, Beschreibung stützt",rejected,"Gleicher allgemeiner Signalbegriff und gleiche Location, aber anderer Defekt: Im Goldstandard sollte Order zu OrderOper geändert werden und ein Parameter fehlt; die LLM-Meldung beschreibt dagegen ein fehlendes Rejection-Signal."
0.65,8,A,"Cancel order. The signal ""Cancel_Order"" is missing. Requirement 3.2.4 is not fullfilled. No message to the operator. (4.1  in  STLDD). Manuel dispatch and cancel order. ","3.2.1, 3.4.2, Table 1",confirmed,19,"CBR, UBR",0.6681,costed_cbr_split_soft_n10_019,reviewer_2_cbr,h:6be7b062d00b60c2,'Cancel_Order': A signal is missing for cancelling accepted orders.,3.2.1,p. 2,cancel_order,yes,yes,partial,"exaktes Signal geteilt, Location spezifisch passend, Beschreibung stützt",confirmed,Gleiches Signal und kompatible Location; die LLM-Meldung beschreibt ausdrücklich das fehlende Cancel_Order-Signal zum Stornieren akzeptierter Aufträge.
