run_id,technique,n_reviewers,reviewer_id,defect_id,fault_type,position,page_hint,description_raw,description_norm,source,timestamp
costed_cbr_split_soft_n10_009,CBR,10,reviewer_1_cbr,h:88b6904f05a00bcc,M,3.4.1,p. 9,'Reject_Order': A signal is missing for not confirming orders.,reject order a signal is missing for not confirming orders,reviewer,2026-06-11T22:38:15.681039
costed_cbr_split_soft_n10_009,CBR,10,reviewer_1_cbr,h:0fc9580adc6fa5c9,M,3.4.1,p. 9,'Order': A signal is missing for acknowledging orders.,order a signal is missing for acknowledging orders,reviewer,2026-06-11T22:38:15.681039
costed_cbr_split_soft_n10_009,CBR,10,reviewer_1_cbr,h:fd84ba40b674681f,W,3.2.1,p. 2,'Order': The parameter type for 'Order' does not match its definition.,order the parameter type for order does not match its definition,reviewer,2026-06-11T22:38:15.681039
costed_cbr_split_soft_n10_009,CBR,10,reviewer_1_cbr,h:4679a465bdb4c3ad,W,3.2.1,p. 2,'Start_Voice': The parameter types do not match the expected structure.,start voice the parameter types do not match the expected structure,reviewer,2026-06-11T22:38:15.681039
costed_cbr_split_soft_n10_009,CBR,10,reviewer_2_cbr,h:5d89eb31e049214f,M,3.2.1,p. 2,'Reject_Order': A signal is missing for not confirming orders.,reject order a signal is missing for not confirming orders,reviewer,2026-06-11T22:38:28.579635
costed_cbr_split_soft_n10_009,CBR,10,reviewer_2_cbr,h:da1e16a50a4de8fb,M,3.2.1,p. 2,'Cancel_Order': A signal is missing for canceling accepted orders.,cancel order a signal is missing for canceling accepted orders,reviewer,2026-06-11T22:38:28.579635
costed_cbr_split_soft_n10_009,CBR,10,reviewer_2_cbr,h:7eeb0070b4660d67,M,3.2.1,p. 2,'Order': The signal has wrong parameter types in Table 1.,order the signal has wrong parameter types in table 1,reviewer,2026-06-11T22:38:28.579635
costed_cbr_split_soft_n10_009,CBR,10,reviewer_2_cbr,h:6d75de2eba08c1cd,W,3.2.1,p. 2,'Order': The signal is defined but not consistently used in MSCs.,order the signal is defined but not consistently used in mscs,reviewer,2026-06-11T22:38:28.579635
costed_cbr_split_soft_n10_009,CBR,10,reviewer_2_cbr,h:9295194908310db3,W,3.2.1,p. 2,'Start_Voice': The signal has wrong parameter types in Table 1.,start voice the signal has wrong parameter types in table 1,reviewer,2026-06-11T22:38:28.579635
costed_cbr_split_soft_n10_009,CBR,10,reviewer_3_cbr,h:5d89eb31e049214f,M,3.2.1,p. 2,'Reject_Order': A signal is missing for not confirming orders.,reject order a signal is missing for not confirming orders,reviewer,2026-06-11T22:38:44.043464
costed_cbr_split_soft_n10_009,CBR,10,reviewer_3_cbr,h:2dc2c78fe1b16e3f,M,3.2.1,p. 2,'Order': A signal is missing for confirming orders in the user-side signals.,order a signal is missing for confirming orders in the user side signals,reviewer,2026-06-11T22:38:44.043464
costed_cbr_split_soft_n10_009,CBR,10,reviewer_3_cbr,h:6c16c05095c382e9,M,3.2.1,p. 2,'LoginOk': A signal is missing for confirming successful logins.,loginok a signal is missing for confirming successful logins,reviewer,2026-06-11T22:38:44.043464
costed_cbr_split_soft_n10_009,CBR,10,reviewer_3_cbr,h:d8ac8197ff12b79b,M,3.2.1,p. 2,'LoginFailed': A signal is missing for failed login attempts.,loginfailed a signal is missing for failed login attempts,reviewer,2026-06-11T22:38:44.043464
costed_cbr_split_soft_n10_009,CBR,10,reviewer_3_cbr,h:088672377b09406e,M,3.2.1,p. 2,'Meter_On': A signal is missing for starting the meter.,meter on a signal is missing for starting the meter,reviewer,2026-06-11T22:38:44.043464
costed_cbr_split_soft_n10_009,CBR,10,reviewer_3_cbr,h:ef531af4e2e9e810,M,3.2.1,p. 2,'Meter_Off': A signal is missing for stopping the meter.,meter off a signal is missing for stopping the meter,reviewer,2026-06-11T22:38:44.043464
costed_cbr_split_soft_n10_009,CBR,10,reviewer_3_cbr,h:f644ab33c98ab4b2,M,3.2.1,p. 2,'Overview': A signal is missing for requesting overview information.,overview a signal is missing for requesting overview information,reviewer,2026-06-11T22:38:44.043464
costed_cbr_split_soft_n10_009,CBR,10,reviewer_4_cbr,h:6b519dcaa70953c3,M,3.3.1,p. 4,'Allocate_car': A corresponding acknowledgment signal is missing.,allocate car a corresponding acknowledgment signal is missing,reviewer,2026-06-11T22:38:52.441091
costed_cbr_split_soft_n10_009,CBR,10,reviewer_4_cbr,h:2f6aeec600ff2e9f,M,3.3.1,p. 4,'OrderOper': A corresponding reject signal is missing.,orderoper a corresponding reject signal is missing,reviewer,2026-06-11T22:38:52.441091
costed_cbr_split_soft_n10_009,CBR,10,reviewer_4_cbr,h:24d2028add2cb71f,M,4.1,p. 9,'Order': A negative acknowledgment signal is missing in the MSC.,order a negative acknowledgment signal is missing in the msc,reviewer,2026-06-11T22:38:52.441091
costed_cbr_split_soft_n10_009,CBR,10,reviewer_5_cbr,h:cff2a7e5e2713d27,M,3.3.2,p. 4,'OrderOper': A corresponding acknowledgment signal is missing.,orderoper a corresponding acknowledgment signal is missing,reviewer,2026-06-11T22:39:15.491577
costed_cbr_split_soft_n10_009,CBR,10,reviewer_5_cbr,h:5adb876a782717e6,M,3.3.2,p. 4,'Allocate_car': A corresponding acknowledgment signal is missing.,allocate car a corresponding acknowledgment signal is missing,reviewer,2026-06-11T22:39:15.491577
costed_cbr_split_soft_n10_009,CBR,10,reviewer_5_cbr,h:057d870b9e8114d3,M,3.3.2,p. 4,'AlarmReset': A corresponding acknowledgment signal is missing.,alarmreset a corresponding acknowledgment signal is missing,reviewer,2026-06-11T22:39:15.491577
costed_cbr_split_soft_n10_009,CBR,10,reviewer_5_cbr,h:d1a13c2c9d0f0865,M,3.3.2,p. 4,'Start_Voice': A corresponding acknowledgment signal is missing.,start voice a corresponding acknowledgment signal is missing,reviewer,2026-06-11T22:39:15.491577
