gold_id,gold_position,gold_risk,gold_description,share_UBR,share_CBR,count_UBR,denom_UBR,count_CBR,denom_CBR
1,Flera ställen,B,Properties. Requirements 3.2.9-3.2.12 are not designed. A driver should be specifiied with different properties but this is not implemented. This fault can be found in many places in the design.,0.0000,0.0000,0,200,0,200
3,3.4.1,B,"Atomatic reject. There is not ""automatic reject as in requirement 3.1.3. ",0.0000,0.0000,0,200,0,200
7,"3.3.1, 3.3.2",B,Allocate car. Requirement 3.2.4 and the design of allocate_car (3.3.1 i STLDD) do not correspind.,0.0100,0.0200,2,200,4,200
10,"3.3.2, 3.4.2",B,ACK is missing. Acknoledgement (ACK) is missing when text messages are sent. The system does not confirm that text messages are received and OK. Requirment 3.2.5. ,0.0000,0.0000,0,200,0,200
11,4.1,B,"Not Available. The signla ""Not_Avail"" is sent in wrong occasion. According to the requirements, a taxi driver is available already when an order has been accepted. ",0.0000,0.0000,0,200,0,200
13,3.2.1,B,"LogOut is missing. The signal ""Log_out"" is missing and a taxi driver cannot log out of the system. ",0.0000,0.0000,0,200,0,200
16,3.2.1,B,"Reset Alarm. A taxi driver can reset the alarm, which is not allowed according to the requirements. ",0.0000,0.0000,0,200,0,200
18,"3.3.1, 3.3.2, 3.4.1",B,Log out. The operator cannot log out of the system. ,0.0000,0.0000,0,200,0,200
21,3.4.1,B,"Login Rejected is missing. The signal ""Login_rejected"" is missing. No validation of drivers occurs. ",0.0000,0.0000,0,200,0,200
27,"Table 1, 3.4.2",B,"Logged in parameters. The signal ""Logged In"" misses parameters.",0.0050,0.0000,1,200,0,200
29,3.2.1,B,"Login in parameters. The signal ???""Login""??? misses a parameter. ",0.0000,0.0000,0,200,0,200
31,"3.2.1, Table 1",B,"Confirm Voice. The signal ""Confirm_Voice"" is missing. ",0.0050,0.0750,1,200,15,200
35,"3.3.2, 3.1",B,"Manual Dispatch. A signal to confirm a manual dispatch is missing in section 3.3.2.  Further, a signal cannot be marked for manual dispatch. ",0.0000,0.0000,0,200,0,200
